–†–∞–∑–¥–µ–ª,–§–æ—Ä–º–∞—Ç,–ù–∞–∑–≤–∞–Ω–∏–µ,–°—Å—ã–ª–∫–∞,–û–ø–∏—Å–∞–Ω–∏–µ,–ö–æ–º–º–µ–Ω—Ç–∞—Ä–∏–π/–¥–æ–ø–æ–ª–Ω–µ–Ω–∏–µ,
🧙‍♀️ Время на выполнение медитации — 9 минут!",,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9C%D0%B5%D0%B4%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D1%8F_%D0%9E%D1%81%D0%B2%D0%BE%D0%B1%D0%BE%D0%B6%D0%B4%D0%BD%D0%B8%D0%B5_%D0%BE%D1%82_%D0%A1%D1%82%D1%80%D0%B0%D1%85%D0%B0_%D0%B8_%D0%A1%D0%BE%D0%BC%D0%BD%D0%B5%D0%BD%D0%B8%D0%B8%CC%86.mp3
Медитация,Аудио,Уверенность,https://disk.yandex.by/d/HRuMOpuaPHh3oA,"Спикер: Кристина Егиазарова

Уверенность — это не качество, а навык, который улучшает самооценку человека и помогает в принятии решений. Это фундамент, дающий ощущение безопасности и устойчивости как к внутренним, так и к внешним проблемам. Как его создать? 

💫 Прими любое комфортное положение, убедись, что ближайшие 10 минут тебя никто не потревожит, настрой дыхание и сфокусируйся на своем внутреннем пространстве: несколько раз сделай глубокий вдох через нос и медленный выдох через рот. Напряжение покидает твое тело и мысли. 

💫Направь внимание во внутрь своей груди и представь, как в ее центре начинает загораться золотистый, теплый свет, который наполнен принятием, любовью и силой. Это — твоя истинная природа: целостная, уверенная, достойная самого лучшего! 

💫 Позволь этому свечению растечься теплом по всему телу от сердца до самых кончиков пальцев. В процессе ты возвращаешь себе право быть собой: быть уверенной в каждом слове, шаге и любом малейшем движении. И дальше — больше! 

🧙‍♀️ Прослушай аудиозапись и пройди ВСЮ медитацию от Кристины, чтобы закрепить в себе чувство уверенности!",,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9C%D0%B5%D0%B4%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A3%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8C.mp3
Медитация,Аудио,Избавление от тревоги,https://disk.yandex.by/d/H-kd7CpjY8o92A,Спикер: Кристина Егиазарова,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%98%D0%B7%D0%B1%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BE%D1%82%20%D0%BE%D0%B1%D0%B8%D0%B4.mp3
Медитация,Аудио,Твое предназначение,https://disk.yandex.by/d/-528RLuoQzIkYw,Спикер: Кристина Егиазарова,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9C%D0%B5%D0%B4%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%A2%D0%B2%D0%BE%D0%B5%CC%88%20%D0%BF%D1%80%D0%B5%D0%B4%D0%BD%D0%B0%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5.mp3
Медитация,Аудио,Принятие родителей,https://disk.yandex.by/d/46m6TbJPNUvgxw,Спикер: Кристина Егиазарова,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9C%D0%B5%D0%B4%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D1%8F_%D0%BD%D0%B0_%D0%BF%D1%80%D0%B8%D0%BD%D1%8F%D1%82%D0%B8%D0%B5_%D1%80%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D0%B5%D0%B8%CC%86.mp3
Практика,Видео,Как создать внутренюю опору и уверенность в будущем?,https://disk.yandex.ru/i/3df-XicGNeuA7w,Спикер: Кристина Филиппова,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9A%D0%B0%D0%BA%20%D1%81%D0%BE%D0%B7%D0%B4%D0%B0%D1%82%D1%8C%20%D0%B2%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D1%8E%D1%8E%20%D0%BE%D0%BF%D0%BE%D1%80%D1%83%20%D0%B8%20%D1%83%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8C%20%D0%B2%20%D0%B1%D1%83%D0%B4%D1%83%D1%89%D0%B5%D0%BC__smaller.mp4
Практика,Видео,Как сохранять энергию и не выгорать?,https://disk.yandex.ru/i/-lpMrO8n_KeKWw,Спикер: Кристина Филиппова,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9A%D0%B0%D0%BA%20%D1%81%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8F%D1%82%D1%8C%20%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B8%D1%8E%20%D0%B8%20%D0%BD%D0%B5%20%D0%B2%D1%8B%D0%B3%D0%BE%D1%80%D0%B0%D1%82%D1%8C__smaller.mp4
Практика,Аудио,Практики НЛП,https://disk.yandex.by/d/12RR8dB5hNPRsA,"Спикер: Алена Ветер 

❓ Наверняка вы слышали об НЛП-техниках, но доводилось ли вам когда-нибудь попробовать их в действии? 

❗️ Сегодня мы предоставим вам такую возможность!

Сегодня вы узнаете, как с помощью простых психологических упражнений и обычных слов можно проработать как сознание, так и подсознание?

Подготовьте заранее: 

📄  Листок бумаги

🖊  Ручку

✨  Желание 

💡 Для вашего удобства мы дополнительно создали подробный гайд с практикой и полной ее расшифровкой. Ц",Методичка: https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9D%D0%9B%D0%9F.pdf,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9F%D1%80%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B8%20%D0%9D%D0%9B%D0%9F.mp3
Практика,Аудио,Любовь к своему телу,https://disk.yandex.by/d/SGePMrW2kpgadw,"🫢 Потеряла любовь к себе? 

Вернуться в нужное состояние не так уж и сложно, если знаешь верный подход. И, разумеется, Кристина уже создала для тебя мини-подсказку — медитацию «Любовь к своему телу»! 🤍

Следуй указаниям голоса из записи и ответь на вопросы: 

🌀 Что я чувствовала во время практики? (эмоции, телесные ощущения, неожиданные образы)
💬 Какие части тела отозвались сильнее всего? Что я поняла о них?
🌿 Что для меня стало открытием или новым взглядом на себя?
🤍 Что я хочу сделать для своего тела после этой практики — прямо сегодня? (маленькое действие, забота, отдых)
📎 Если бы моё тело могло написать мне письмо, о чём бы оно было?",,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9F%D1%80%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B0__%D0%9B%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C_%D0%BA_%D1%81%D0%B2%D0%BE%D0%B5%D0%BC%D1%83_%D1%82%D0%B5%D0%BB%D1%83_.mp3
Практика,Аудио,Заземление,https://disk.yandex.by/d/CG4QHAVH2EiJbQ,"❓ Зачем разбивать большую цель на несколько маленьких шагов?
❗️ Дело не только в том, что задача после этого кажется более достижимой: большую роль играет важный процесс — заземление энергии. 

Заземление — это когда, мысленно представив цель, мы совершаем определенные действия уже в физическом мире, запуская свою энергию для реализации задуманного. 

Это одно из важнейших и ключевых понятий при достижении целей и осуществлении мечт!

Поэтому сегодня мы предлагаем вам заземлиться благодаря одной из приятнейших медитаций от спикера нашего Института духовных наук «Исходный код». ",,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%97%D0%B0%D0%B7%D0%B5%D0%BC%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5.mp3
Практика,Аудио,Избавление от обид,https://disk.yandex.by/d/p146MwcfCo5SLA,"Спикер: Кристина Егиазарова 

Общение с людьми приносят нам много эмоций и пользы в виде опыта: как положительного, так и отрицательного. 

☝️ Обратная сторона взаимоотношений — это негатив, который копится в нас годами, если не дать ему выйти экологично, то есть без вреда для себя и окружающих.

Хочешь узнать, почему Кристина выбрала для тебя именно эту практику? 

▫️ она быстрая, но эффективная
▫️ ее легко запомнить и применить тогда, когда тебе это будет необходимо
▫️ позволяет отпустить непрожитые, непроработанные и запертые ранее боль и травмы прошлого

Упражнение из аудио поможет тебе отпустить обиды, чтобы без оглядки на прошлое идти только вперед!",,
Практика,Аудио,Сепарация от родителей,https://disk.yandex.by/d/211G6FH-XEO5-A,"Спикер: Диана
Психолог и декан Института духовных наук «Исходный код»

🧙‍♀️ Путь к взрослению и становлению личности лежит через выход из-под опеки родителей. Но что происходит с теми, кто не хочет выходить из-под опеки родителей?

1. Из-за отсутствия эмоциональной, физической и финансовой самостоятельности, они ищут родительскую фигуру в близких;

2. Неуверенность и неумение выстраивать личные границы становятся частью их жизни;

3. Не имея собственного опыта им трудно «найти себя» и выражать мнение;

4. Они зависят от мнения окружающих, и любое несогласие воспринимают в штыки. 

❓ Хочешь узнать, как избежать негативного влияния от не пройденной сепарации? 
❗️ Тогда скорее выполняй практику!",,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%A1%D0%B5%D0%BF%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D1%82%20%D1%80%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D0%B5%D0%B8%CC%86.mp3
Практика,Аудио,Жизнь в легкости,https://disk.yandex.by/d/zLCg130nDdaGxQ,"В современном мире, полном суеты и стресса, каждому важно найти внутренний покой и гармонию. Поэтому я предлагаю тебе практику, которая позволит сосредоточиться на: 

💫 на ощущениях тела
💫 дыхании 
💫 позитивных мыслях 

Именно эти состовляющие и подарят тебе заветное чувство легкости!

💫 Сделай первый шаг навстречу себе и пройди практику для того, чтобы восстановить свои силы, наполниться вдохновением, принять события такими, какие они есть и видеть красоту в мелочах!

🎧 Время практики — 5 минут.",,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9C%D0%B5%D0%B4%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D1%8F__%D0%96%D0%B8%D0%B7%D0%BD%D1%8C_%D0%B2_%D0%BB%D0%B5%D0%B3%D0%BA%D0%BE%D1%81%D1%82%D0%B8_.mp3
Практика,Аудио,Внутренний ребенок,https://disk.yandex.by/d/v9FHARqm3X5vlQ,Спикер: Кристина Егиазарова,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9F%D1%80%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B0%20%D0%BD%D0%B0%20%D0%B2%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B5%D0%B3%D0%BE%20%D1%80%D0%B5%D0%B1%D0%B5%D0%BD%D0%BA%D0%B0.mp3
Практика,Аудио,Замена установок,https://disk.yandex.by/d/Ve868WC3g2O-hw,Спикер: Кристина Егиазарова,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9F%D1%80%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B0%20%D0%BD%D0%B0%20%D0%B7%D0%B0%D0%BC%D0%B5%D0%BD%D1%83%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BE%D0%BA.mp3
Практика,Аудио,Исполнение желаний,https://disk.yandex.by/d/aK9ahdSpxfMkDw,Спикер: Кристина Егиазарова,,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9F%D1%80%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B0%20%D0%B8%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%B6%D0%B5%D0%BB%D0%B0%D0%BD%D0%B8%D0%B8%CC%86.mp3
Подкаст,Аудио,Как правильно ссориться?  ,https://disk.yandex.by/d/9b2cgANv9wr7ow,"Практика: «Хоопонопоно»

Спикер: Кристина Егиазарова

Метод заключается в повторении четырех фраз: 

«Я люблю тебя»
«Я благодарю тебя»
«Прости меня»
«Мне очень жаль»

Неважно, в каком порядке или на каком языке человек будет их произносить. Главное — делать это от сердца и вкладывать в слова всю свою энергию.

☝️ Это описание первого метода. Чтобы узнать про вторую технику, скорее слушай подкаст от Кристины!",,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9A%D0%B0%D0%BA%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D1%8C%D0%BD%D0%BE%20%D1%81%D1%81%D0%BE%D1%80%D0%B8%D1%82%D1%8C%D1%81%D1%8F_%20%20.ogg
Подкаст,Аудио,Творческая энергия и деньги: как они связаны?,https://disk.yandex.by/d/mO7tXVr2aq5jSA,"Спикер: Алина Телюкина

Творчество — это источник новых идей, способных изменить мировоззрение людей, а деньги — это ресурс, позволяющий воплощать, масштабировать и доносить до аудитории эти мысли. 

И тот, и другой ресурс важны для человека, стремящегося получить признание и реализовать поставленные цели. 

☝️ Более того, они друг друга дополняют! Но...

▫️ Как связаны между собой эти энергии?
▫️ В чем заключается истинная мощь этого союза? 
▫️ Почему творчество так необходимо для реализации и денег? 

Обо всем подробнее рассказали в аудио! ",,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%A2%D0%B2%D0%BE%D1%80%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B8%D1%8F%20%D0%B8%20%D0%B4%D0%B5%D0%BD%D1%8C%D0%B3%D0%B8%20%D0%BA%D0%B0%D0%BA%20%D0%BE%D0%BD%D0%B8%20%D1%81%D0%B2%D1%8F%D0%B7%D0%B0%D0%BD%D1%8B%3F.mp3
Подкаст,Аудио,Как управлять своим временем и не перегружаться?,https://disk.yandex.by/d/vV4T5wyqrqUS6A,"Спикер: Алина Телюкина 

Почему одни люди успевают реализовать свои мечты, строить карьеру и наслаждаться жизнью, в то время как другие тонут в пучине дел, чувствуя себя «белкой в колесе»? 

На самом деле все просто: первые хорошо знакомы с искусством управления временем и предотвращением эмоционального выгорания — ТАЙМ-МЕНЕДЖМЕНТОМ!

Слушай аудио-подкаст, чтобы узнать про эффективные техники тайм-менеджмента, которые добавят пару лишних часов в сутки на себя и свои планы!",,https://storage.daniillepekhin.com/IK%2Fclub_miniapp%2Fvideo%2F%D0%9A%D0%B0%D0%BA%20%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D1%8F%D1%82%D1%8C%20%D1%81%D0%B2%D0%BE%D0%B8%D0%BC%20%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B5%D0%BC%20%D0%B8%20%D0%BD%D0%B5%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B3%D1%80%D1%83%D0%B6%D0%B0%D1%82%D1%8C%D1%81%D1%8F%3F.mp3